image,status,texts,raw_texts,scores,boxes,destination,note
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740614892705-573352142.jpg,ok,37H-05510,,0.969,"[468, 1749, 1442, 2246]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740615730980-915271890.jpeg,ok,35H-02196,,0.985,"[86, 336, 231, 405]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740617733063-692577888.jpg,ocr_empty, | ,00DB902184 | 39C989C02184,0.718 | 0.712,"[323, 1217, 679, 1319] | [321, 1124, 676, 1318]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740617733063-692577888.jpg,All OCR texts are empty. Rejected raw OCR: 00DB902184 | 39C989C02184
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740618593409-750655644.jpeg,ok,89HD-18927,,0.968,"[138, 362, 196, 396]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740618792163-975306249.jpg,ok,37C-48875,,0.884,"[496, 1563, 935, 1679]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740619796317-423171850.jpg,ok,37TD-00042,,0.768,"[483, 1528, 941, 1641]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740621539406-199198973.jpeg,ocr_empty,,22C7H07341,0.913,"[120, 350, 206, 391]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740621539406-199198973.jpeg,All OCR texts are empty. Rejected raw OCR: 22C7H07341
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740621872372-683393077.jpeg,ok,37C-42118,,0.919,"[139, 359, 210, 398]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740622547945-815794309.jpeg,ocr_empty,,M9BBH03326,0.937,"[118, 357, 210, 409]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740622547945-815794309.jpeg,All OCR texts are empty. Rejected raw OCR: M9BBH03326
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740630261290-490321544.jpg,ok, | 20T-6472 | ,2472 |  | MM272,0.916 | 0.853 | 0.268,"[635, 1983, 1413, 2156] | [633, 1994, 1203, 2153] | [626, 1927, 1749, 2160]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740630812313-771567736.jpeg,ok,89BH-03326,,0.901,"[120, 384, 211, 436]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740630828967-695845306.jpg,ok,37C-20777,,0.934,"[891, 2302, 1489, 2647]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740631346561-686546106.jpeg,ok,20H-01261,,0.902,"[136, 353, 195, 385]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740633689923-524588937.jpeg,ocr_empty,,MMMT5H11287,0.935,"[110, 372, 236, 404]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740633689923-524588937.jpeg,All OCR texts are empty. Rejected raw OCR: MMMT5H11287
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740634382617-707342005.jpeg,ocr_empty,,93GC46121MMMM,0.891,"[99, 352, 238, 395]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740634382617-707342005.jpeg,All OCR texts are empty. Rejected raw OCR: 93GC46121MMMM
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740638691190-885280296.jpeg,ok,37H-04616,,0.843,"[112, 352, 200, 400]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740639671320-919340147.jpeg,ok,15H-01975,,0.909,"[112, 373, 218, 428]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740639941443-397724159.jpeg,ok,15H-10701,,0.939,"[121, 384, 239, 416]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740641637095-121574361.jpg,ocr_empty,,48A200H02381,0.930,"[843, 2345, 1339, 2616]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740641637095-121574361.jpg,All OCR texts are empty. Rejected raw OCR: 48A200H02381
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740643320043-448610296.jpg,ok,98BD-32841,,0.888,"[716, 2188, 1258, 2485]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740644743058-776063914.jpg,ok,37H-3727,,0.882,"[626, 1897, 1156, 2173]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740646462473-730559614.jpeg,ok,20H-02370,,0.851,"[113, 344, 195, 390]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740655195990-368672822.jpg,ok,98BC-21701,,0.918,"[787, 2229, 1409, 2582]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740655555949-546104261.jpeg,ok,20C-05973,,0.908,"[138, 367, 216, 410]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740660330724-32536254.jpg,ocr_empty,,29702006,0.893,"[729, 2298, 1458, 2500]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740660330724-32536254.jpg,All OCR texts are empty. Rejected raw OCR: 29702006
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740661394516-774957640.jpg,ok,99C-20306 |  | , |  | ,0.903 | 0.675 | 0.569,"[251, 490, 748, 734] | [782, 490, 959, 603] | [239, 26, 782, 167]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740670142875-504468746.jpg,ok,34C-14801,,0.960,"[732, 2021, 1580, 2420]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740670554694-991203915.jpeg,ok,98C-29436,,0.912,"[137, 345, 203, 383]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740674570914-575810954.jpeg,ocr_empty, | ,34C920963 | 070222,0.948 | 0.337,"[100, 335, 223, 398] | [221, 329, 283, 363]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740674570914-575810954.jpeg,All OCR texts are empty. Rejected raw OCR: 34C920963 | 070222
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740679495285-358653923.jpeg,ok,23AH-03648,,0.972,"[93, 350, 225, 421]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740689308874-276713528.jpg,ok,34E-0148,,0.961,"[134, 465, 364, 521]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740699747083-673304586.jpg,ok,37H-09040,,0.976,"[343, 1742, 1553, 2373]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740703204129-461034834.jpg,ocr_empty,,MM,0.932,"[544, 1909, 1238, 2105]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740703204129-461034834.jpg,All OCR texts are empty. Rejected raw OCR: MM
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740704033452-852389619.jpeg,ok,37C-51885,,0.942,"[108, 319, 236, 396]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740705702188-805559912.jpg,ok,37TC-49659,,0.960,"[127, 1123, 882, 1279]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740706235887-728551258.jpeg,ok,98BH-03926,,0.906,"[119, 369, 212, 423]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740707102987-146480294.jpeg,ocr_empty,,M37T36509,0.884,"[65, 311, 255, 355]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740707102987-146480294.jpeg,All OCR texts are empty. Rejected raw OCR: M37T36509
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740711171235-378435765.jpg,ocr_empty,,77,0.850,"[676, 2327, 1466, 2547]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740711171235-378435765.jpg,All OCR texts are empty. Rejected raw OCR: 77
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740711822822-241937150.jpeg,ok,99C-26952,,0.940,"[105, 372, 245, 405]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740713323526-331798204.jpg,ok,37MN-07725,,0.971,"[392, 1772, 1479, 2300]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740713461202-944776929.jpeg,ok,37H-03727,,0.973,"[77, 328, 259, 416]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740714240215-456044960.jpg,ok,37T-8859,,0.838,"[1055, 2950, 1949, 3258]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740714550241-838911395.jpeg,ok,99F-00560,,0.880,"[123, 362, 186, 395]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740715459279-757238792.jpeg,ok,35H-02056,,0.959,"[42, 334, 230, 422]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740719002251-127298887.jpeg,ok,37S-02872,,0.919,"[103, 359, 228, 389]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740722878234-62495607.jpeg,ok,37H-00813,,0.973,"[41, 346, 281, 458]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740723727661-751412484.jpeg,ok,41SC-34421,,0.894,"[141, 372, 206, 409]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740724733483-380211562.jpg,ok,37D-50086,,0.907,"[376, 1878, 1686, 2585]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740724790233-848805879.jpg,ok,18H-03289,,0.915,"[939, 2289, 1370, 2542]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740725677323-739043133.jpeg,ok,29H-01559,,0.860,"[126, 369, 192, 407]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740725770623-23921571.jpg,ok,37DC-50086,,0.866,"[820, 2276, 1458, 2436]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740727197709-167887005.jpeg,ok,90H-00530,,0.930,"[95, 380, 212, 439]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740727848233-673657145.jpg,ok,29C-88903,,0.888,"[820, 2263, 1234, 2489]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740729457494-362727329.jpeg,ok,37M-09384,,0.893,"[113, 367, 228, 394]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740730290348-73687645.jpg,ocr_empty,,15,0.306,"[209, 2053, 2110, 2454]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740730290348-73687645.jpg,All OCR texts are empty. Rejected raw OCR: 15
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740731453120-558310871.jpeg,ok,36H-03749,,0.974,"[103, 343, 290, 413]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740732940643-13924793.jpeg,ok,37G-32161,,0.985,"[39, 315, 281, 440]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740734345269-659253262.jpeg,ok,15C-15047,,0.757,"[131, 349, 204, 415]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740734545052-700981763.jpg,ok,34H-00075 | , | 0D,0.946 | 0.399,"[875, 2270, 1235, 2493] | [826, 187, 1401, 320]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740734757237-914704593.jpg,ocr_empty,,MD56,0.912,"[1078, 3165, 1632, 3458]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740734757237-914704593.jpg,All OCR texts are empty. Rejected raw OCR: MD56
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740737533139-492789820.jpeg,ok,50L-44223,,0.907,"[90, 365, 239, 405]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740737800596-837246451.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740737800596-837246451.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740738215599-305908671.jpg,ok,37C-48875,,0.928,"[491, 1518, 1014, 1668]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740738775823-35549162.jpeg,ok,36H-06228,,0.976,"[38, 325, 261, 432]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740739415931-545368546.jpeg,ok,98HD-28601,,0.911,"[118, 353, 211, 403]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740744675360-232785151.jpeg,ok,98E-00924,,0.923,"[113, 347, 223, 408]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740744885375-370333008.jpg,ok,98DD-00056,,0.770,"[519, 1498, 906, 1601]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740750558229-386393805.jpg,ok,37H-01993,,0.946,"[529, 2165, 1513, 2760]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740754893553-795448963.jpg,ok,89CD-002.13,,0.603,"[428, 570, 878, 695]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740756224605-167995392.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740756224605-167995392.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740765389726-505197845.jpg,ok,29K-10537,,0.922,"[957, 2361, 1325, 2580]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740766872407-357463204.jpg,ok,34C-20940,,0.899,"[362, 897, 568, 1009]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740767552065-319596301.jpg,ok,34C-24627,,0.953,"[733, 2320, 1481, 2688]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740767741271-911045.jpg,ok,34E-00643,,0.914,"[727, 2250, 1260, 2579]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740768444677-778098432.jpg,ok,29K-10537,,0.927,"[863, 2290, 1239, 2514]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740773940116-2039765.jpeg,ocr_empty,,44Z9K02006MMMMM,0.882,"[105, 359, 232, 395]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740773940116-2039765.jpeg,All OCR texts are empty. Rejected raw OCR: 44Z9K02006MMMMM
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740775166734-12447947.jpg,ok,34C-16500,,0.942,"[985, 2243, 1484, 2547]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740776596086-471415904.jpg,ocr_empty,,98BC29184L43,0.965,"[494, 417, 900, 614]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740776596086-471415904.jpg,All OCR texts are empty. Rejected raw OCR: 98BC29184L43
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740776695375-114148981.jpeg,ocr_empty,,MMMMM029K04335,0.903,"[118, 347, 223, 378]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740776695375-114148981.jpeg,All OCR texts are empty. Rejected raw OCR: MMMMM029K04335
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740784565643-275857976.jpeg,ok,98T-5374,,0.859,"[103, 376, 249, 414]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740787294614-697523038.jpg,ok,24C-07428,,0.923,"[813, 2368, 1304, 2638]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740788511725-774480979.jpeg,ok,43GH-05598,,0.950,"[119, 339, 226, 393]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740791048063-483784379.jpeg,ok,37H-05999,,0.926,"[139, 349, 201, 381]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740792896877-494462193.jpg,ok,37D-1787,,0.486,"[765, 2223, 1506, 2490]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740794679922-829173323.jpeg,ok,17H-01250,,0.955,"[110, 337, 230, 397]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740794681270-467100075.jpg,ok,17H-01250,,0.954,"[695, 2171, 1479, 2541]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740795078891-878276253.jpeg,ok,37C-31258,,0.902,"[129, 347, 212, 407]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740796343739-573560364.jpeg,ok,98H-00613,,0.916,"[128, 344, 192, 378]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740799323439-678168897.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740799323439-678168897.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740802972241-653166238.jpg,ok,37G-00160,,0.953,"[726, 2367, 1484, 2723]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740804385257-646256665.jpeg,ocr_empty,,M37C24469,0.953,"[89, 413, 235, 477]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740804385257-646256665.jpeg,All OCR texts are empty. Rejected raw OCR: M37C24469
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740812723504-414560626.jpeg,ok,37H-04588,,0.951,"[35, 314, 290, 442]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740815257609-636406630.jpg,ok,37C-53217,,0.923,"[673, 2350, 1531, 2588]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740821618071-219123892.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740821618071-219123892.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740824574762-577696643.jpg,ok,98BC-27791,,0.922,"[1011, 2969, 1498, 3241]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740824950954-389757954.jpg,ok,89C-28604,,0.874,"[594, 2959, 1033, 3230]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740826195873-308216438.jpeg,ok,29X-04832,,0.900,"[104, 354, 227, 390]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740826813549-801539807.jpg,ok,86DD-88103 | , | D,0.907 | 0.542,"[1090, 1938, 2636, 2725] | [146, 31, 885, 479]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740827492126-756511619.jpg,ocr_empty, | , | 29D97NMM,0.700 | 0.347,"[0, 1343, 1080, 1920] | [53, 1130, 1077, 1331]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740827492126-756511619.jpg,All OCR texts are empty. Rejected raw OCR: 29D97NMM
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740831036628-194119860.jpeg,ok,34CT-83697,,0.929,"[106, 329, 234, 391]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740832515834-741766493.jpg,ok,61H-12514,,0.879,"[676, 766, 855, 869]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740832786449-271972747.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740832786449-271972747.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740837123290-983898493.jpg,ok,20C-05960,,0.947,"[762, 2379, 1498, 2576]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740838103717-490939677.jpeg,ok,36H-06995,,0.867,"[125, 358, 218, 416]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740841474408-921496551.jpg,ocr_empty,,29H925255,0.777,"[424, 1159, 669, 1309]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740841474408-921496551.jpg,All OCR texts are empty. Rejected raw OCR: 29H925255
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740841968569-376763445.jpg,ok,37H-02621,,0.957,"[177, 1667, 1566, 2378]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740845604839-524143593.jpg,ok,29D-4005,,0.885,"[796, 2429, 1532, 2636]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740845837306-698590858.jpeg,ok,15F-01868,,0.950,"[111, 353, 235, 413]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740846340979-466734008.jpg,ok,98HC-00058,,0.921,"[407, 455, 742, 627]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740853328422-675723760.jpg,ok,70D-0014,,0.901,"[824, 2437, 1541, 2621]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740856257906-199373004.jpg,ok, | 29D-1546 | ,MDM |  | HN6HA1,0.841 | 0.833 | 0.549,"[16, 1173, 762, 1309] | [331, 1178, 754, 1308] | [290, 163, 565, 291]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740861578271-709084220.jpg,ok,29H-25255,,0.708,"[448, 1162, 800, 1321]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740879476495-172216089.jpg,ocr_empty,,2944,0.945,"[642, 2024, 2120, 2327]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740879476495-172216089.jpg,All OCR texts are empty. Rejected raw OCR: 2944
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740880104447-238915714.jpeg,ok,29H-25255,,0.796,"[127, 372, 222, 420]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740882716543-788885910.jpg,ok,99C-08863,,0.967,"[436, 1444, 1668, 2239]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740884089227-137020193.jpg,ok,37H-04588,,0.970,"[468, 2079, 1822, 2792]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740884199672-741783416.jpeg,ocr_empty,,05D,0.927,"[80, 357, 245, 401]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740884199672-741783416.jpeg,All OCR texts are empty. Rejected raw OCR: 05D
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740885457336-55480250.jpeg,ok,37H-03631,,0.921,"[23, 305, 312, 441]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740887824409-857272338.jpg,ocr_empty,,310,0.286,"[791, 1811, 2753, 2347]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740887824409-857272338.jpg,All OCR texts are empty. Rejected raw OCR: 310
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740888350594-7157796.jpeg,ok,29CD-004.37,,0.893,"[143, 346, 200, 381]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740898567932-926315354.jpeg,ok,37H-05999,,0.962,"[95, 328, 251, 405]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740898657583-307627236.jpeg,ok,37C-56011,,0.913,"[118, 347, 223, 406]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740899875631-628651862.jpg,ok,35H-02177,,0.897,"[690, 1871, 1147, 2156]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740900278823-43380186.jpg,ocr_empty,,29576,0.929,"[505, 2363, 1556, 2597]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740900278823-43380186.jpg,All OCR texts are empty. Rejected raw OCR: 29576
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740901544229-651377300.jpg,ok,37C-20667,,0.886,"[833, 2274, 1337, 2571]",,At least one OCR text has a valid Vietnamese plate format.
